"IDLOCALIDAD"	"IDESTADO"	"IDMUNICIPI"	"NOMBRE_LOCALIDAD"	"NUMERO_MAPA"	"ESCALA_MAPA"	"LATITUD_GRADOS"	"LATITUD_MINUTOS"	"LATITUD_SEGUNDOS"	"LONGITUD_GRADOS"	"LONGITUD_MINUTOS"	"LONGITUD_SEGUNDOS"	"MERCATOR_NORTE"	"MERCATOR_ESTE"	"LOCALIDAD"	"COORDENADA_N.S"	"COORDENADA_E.W"	"ELEVACION"	"IDPRECISION"	"COMENTARIOS"	"suma"	"with.coords"	"num.abs.dates"	"num.rel.ages"	"primary.pubs"	"num.taxa"	"spatial.rank"	"temporal.rank"	"material.rank"	"taxa.rank"
216	20	0	"Cueva de Monte Flor"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	6	2	2	1	2
217	15	0	"Tequesquinahua"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	18	2	2	1	1
218	26	0	"Santa Ana Babcora"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
219	9	0	"Azcapotzalco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	TRUE	1	2	1	1	3
220	14	0	"Atotonilco El Bajo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	4	TRUE	13	2	2	1	1
221	21	0	"Hueyatlaco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	2056	"ND"	"ref. 490: 50 m Ndel nucleo principal de excavaciones arqueolgicas de la localidad Hueyatlaco (proyecto Valsequillo); en el pie de una elevacin donde afloran las brayas Valsequillo (cota 2056)"	1	"N"	5	3	TRUE	20	2	1	1	1
222	15	0	"cerca del valle de Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"regon ded Zumpango, en el extremo N de la Cuenca de Mxico, verificar que sea diferente a la loc. 332 y 276"	1	"N"	0	1	TRUE	2	2	2	1	3
223	26	0	"La Guitarra"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"aprox. a la mitad del camino Tonichi-Sahuaripa, cerca del poblado La Guitarra"	1	"N"	0	2	TRUE	1	2	2	1	3
224	15	0	"pueblo de San Pedro Atzompa"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
225	21	0	"Tepeji de Rodriguez"	"ND"	"ND"	18	30	99	98	7	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"Y"	0	1	TRUE	6	1	2	1	2
226	9	0	"Templo Mayor"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	16	2	2	1	1
227	24	24	"Laguna de la Media Luna"	"ND"	"ND"	21	55	99	100	5	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"Y"	0	2	TRUE	15	1	2	1	1
228	23	0	"El Meco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	7	2	2	1	2
229	15	0	"Tepexpan (El Risco II)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Tepexpan es una pequea villa emplazada sobre la carretera que conduce desde Mxico a Acolman y las pirmides de Teotihuacn. Se encuentra a 300 m al N de una tajea, cerca del poste de piedra indicador del Km 6 de la carretera y a 900 m al W de la pared que rodea al Hospital de enfermos cronicos"	1	"N"	0	1	TRUE	2	2	2	1	3
230	31	0	"Actun Coyok"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Oxkutzcab"	"ND"	"ND"	9999	"ND"	"cerca de 6.5 Km SW Oxkutzcab"	1	"N"	0	1	TRUE	34	2	2	1	1
231	31	0	"Actun Chacaljas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Actun Spukil"	"ND"	"ND"	9999	"ND"	"cerca de 0.5 Km Actun Spukil en direccin a Hacienda Calcehtok"	1	"N"	0	1	TRUE	12	2	2	1	1
232	31	0	"Actun Has"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"a la mitad de la Sierra, alrededor de 6.5 Km S de Yokat"	1	"N"	0	1	TRUE	24	2	2	1	1
233	16	0	"Cuitzeo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"a la orilla S del lago, dentro de la pennsula y casi pegado a las ltimas casas del pueblo"	1	"N"	0	1	TRUE	2	2	2	1	3
234	33	0	"Valle de Puebla-Tlax."	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
235	33	0	"Altiplanicie Central de Mxico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	13	2	2	1	1
236	33	0	"Norte de Mxico (pas)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	3	2	2	2	3
237	7	0	"Cueva de Santa Marta"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"7.5 Km al NW de Ocozocoautla, Chiapas, la cueva esta en la finca Kikap a unos 5 Km W de Ocozocoautla"	1	"N"	36	1	TRUE	38	2	1	1	1
238	21	0	"Cueva del Tepeyolo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Totemihuacn"	"10 Km"	"ND"	9999	"ND"	"10 Km Totemihuacn mrgenes de la Presa de Valsequillo"	1	"N"	0	8	TRUE	22	2	2	1	1
239	21	0	"Cueva del Texcal"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Totemihuacn"	"6 Km S"	"ND"	9999	"ND"	"6 Km S de Totemihuacn, margenes de la Presa de Valsequillo; 6.5 Km W Cueva de Tepeyolo"	1	"N"	0	10	TRUE	25	2	2	1	1
240	28	0	"Regin de Gmez Faras"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Alvarez y Arroyo( 1989) engloban con \"regin de Gmez Faras\", las tres localidades de Koopman y Martn (1959): Infiernillo, Paraiso y Rancho del Cielo"	1	"N"	0	1	TRUE	1	2	2	1	3
241	31	0	"Cuevas de Yucatn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
242	15	0	"Chimalhuacan-Atenco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"oriente de la ciudad de Mxico hacia el Noroeste del cerro Chimalhuacn, Edo. de Mxico"	1	"N"	1	5	TRUE	10	2	1	1	1
243	7	0	"Tonin"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	17	TRUE	27	2	2	1	1
244	26	0	"Rancho La Brisca"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	16	2	2	1	1
245	1	0	"Estado de Aguascalientes"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	5	TRUE	32	2	2	1	1
246	7	0	"Aguacatenango"	"ND"	"ND"	16	36	99	92	23	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Serrana limtrofe de la Mesa Central y la Depresin Central, Carretera El Carmelito-Villa de las Rosas, Municipio de Aguacatenango (ref. 548)"	1	"Y"	0	1	TRUE	3	1	2	1	3
247	15	11	"Santa Isabel Iztapan II"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Santa Isabel Iztapan"	"ND"	"ND"	9999	"ND"	"Mamut no. 2: W Santa Isabel Iztapan. Ref. 847: cerca de Tepexpan; ref. 723: aprox. 350m S del sitio que fue explorado el 1er. mamut en Iztapan y aprox. 2600m SSW del sitio del hallazgo del hombre fsil de Tepexpan."	1	"N"	1	1	TRUE	2	2	1	1	3
248	1	1	"ranchera \"Margaritas\""	"F13-B89"	"1:50,000"	22	0	48	102	16	24	"ND"	"ND"	"ND"	"ND"	"ND"	1890	"ND"	"junto al ro Chicalote, sobre la carretera internacional"	1	"Y"	0	1	FALSE	1	1	2	2	3
250	14	0	"Cuenca Chapala, Zacoalco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
251	15	0	"Lago de Texcoco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	0	TRUE	8	2	3	1	2
252	24	0	"Laguna de las Cruces"	"F14-A61"	"1:50,000"	22	39	5	101	52	52	"ND"	"ND"	"ND"	"ND"	"ND"	2100	"ND"	"ND"	1	"Y"	0	1	TRUE	6	1	2	1	2
254	19	0	"Monterrey"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 399 y loc. 742 (del edo. de Jalisco)"	1	"N"	0	1	FALSE	1	2	2	2	3
256	15	0	"Santa Luca I, II"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
257	15	0	"Iztapan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"El estado no es seguro"	1	"N"	0	1	FALSE	1	2	2	2	3
258	9	0	"Santa Martha Acatitla Sur"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"en la calle Emilio Madero, casi esquina con Tito Ferrer, a un costado de la Escuela Primaria \"24 de febrero\" en la colonia Santa Martha Acatitla Sur"	1	"N"	1	1	TRUE	1	2	1	1	3
259	15	0	"Tepexpan-Arellano"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
260	15	0	"Tepexpan-Totolcingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 776: en la zona entre los pueblos de Tepexpan y Totolcingo"	1	"N"	0	2	TRUE	1	2	2	1	3
261	15	0	"Tepexpan-Hospital"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 846: en el punto inmediato al Hospital para enfermos incurables"	1	"N"	0	1	TRUE	1	2	2	1	3
263	9	0	"Plaza de las Tres Culturas, Tlatelolco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
264	9	0	"Ciudad de los Deportes"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	TRUE	4	2	1	1	3
265	17	0	"Cueva Encantada"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Distrito de Huautla"	"ND"	"2 Km W"	9999	"ND"	"2 Km W Chimalacatln, a unos 200 m sobre el nivel del valle"	1	"N"	0	1	TRUE	7	2	2	1	2
266	14	0	"Atotonilco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
267	21	0	"esquina de la 2 Norte y Portal Hidalgo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Edificio Caldern"	1	"N"	0	1	TRUE	1	2	2	1	3
268	21	0	"Cholula"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	15	2	2	1	1
269	9	0	"Pen de los Baos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ciudad de Mxico"	"ND"	"2.5 millas E"	9999	"ND"	"cerca de 2.5 millas al E de la ciudad de Mxico"	1	"N"	0	2	TRUE	1	2	2	1	3
270	9	0	"Pedregal de San Angel"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Lave du Pedregal (Valle de Mexico) (traduccin en el escrito en francs ref. 473)"	1	"N"	0	1	TRUE	3	2	2	1	3
272	15	0	"llanura de Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	0	2	2	1	4
273	14	0	"Cantera de Jocotepec"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"Jocotepec"	"2 Km"	"ND"	9999	"ND"	"5 km W Jocotepec, hacia Guadalajara (carret. 15)"	1	"N"	1	1	TRUE	3	2	1	1	3
274	15	0	"Tlalnepantla"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
276	15	0	"Tajo de Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	4	TRUE	5	2	2	1	2
277	33	0	"Barranca de Acutcingo"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"El contenido de fauna es diferente a las de las loc. 45 y 193"	1	"N"	0	1	TRUE	1	2	2	1	3
278	15	0	"Tajo de Tequixquiac-Barranca de Acatln"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"E de la boca norte del tunel del desague"	1	"N"	0	1	TRUE	36	2	2	1	1
280	19	0	"Estado de Nuevo Len"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	2	TRUE	8	2	2	1	2
281	9	0	"Colonia Los Alamos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
282	15	0	"Tepexpan en el Museo de Prehistoria"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"en le punto donde se levanta actualmente dicho museo"	1	"N"	0	1	TRUE	1	2	2	1	3
283	14	0	"Rancho de la Verdolaga"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Dugs (1982;ref.176) dice que es de la jurisdiccin de San Juan de los Lagos, pero nunca dice a que estado pertenece. Se  sique a Barrios (1985;ref.548) quien lo ubica en Jalisco"	1	"N"	0	1	TRUE	4	2	2	1	3
284	20	0	"Guil Naquitz"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	10	1	TRUE	25	2	1	1	1
285	20	0	"Cueva de los Afligidos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	10	2	2	1	1
286	21	45	"Cd. Serdn"	"E14-6"	"1:250,000"	18	55	99	97	26	42	"ND"	"ND"	"ND"	"ND"	"ND"	2600	"ND"	"ND"	1	"Y"	0	1	FALSE	1	1	2	2	3
287	7	44	"Ixtapan"	"ND"	"1:50,000"	16	48	99	92	54	99	"ND"	"ND"	"ND"	"ND"	"ND"	1120	"ND"	"ND"	1	"Y"	0	1	FALSE	1	1	2	2	3
288	15	0	"Tepexpan cerca del sitio del hombre fsil"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 846: a corta distancia del sitio de hallazgo del hombre fsil"	1	"N"	0	1	TRUE	1	2	2	1	3
289	29	0	"Barranca del Toro"	"E14-B24"	"1:50,000"	19	33	48	97	58	6	"ND"	"ND"	"ND"	"ND"	"ND"	2500	"ND"	"ND"	1	"Y"	0	1	TRUE	0	1	2	1	4
290	15	0	"cercano al radio faro de Tepexpan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
291	15	0	"Estado de Mxico"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	4	TRUE	11	2	2	1	1
293	15	0	"Teotihuacn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"camino periferico de la zona arqueolgica, cerca del Rio San Juan, sector N2E2"	1	"N"	0	3	TRUE	42	2	2	1	1
294	8	0	"Cueva de las Ventanas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	6	2	2	1	2
295	19	7	"La Ascensin"	"G14-C77"	"1:50,000"	24	19	30	99	54	48	"ND"	"ND"	"ND"	"ND"	"ND"	1960	"ND"	"cercanias Rancho La Angostura"	1	"Y"	0	1	TRUE	1	1	2	1	3
296	3	0	"Comondu"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Prob. sea igual a la localidad 151"	1	"N"	0	1	FALSE	2	2	2	2	3
297	23	0	"Punta Molas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
298	23	0	"Cinco Puertas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
299	23	0	"San Miguel"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	10	2	2	1	1
300	23	0	"El Cedral"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	8	2	2	1	2
301	23	0	"Buena Vista"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	10	2	2	1	1
302	23	0	"San Gervasio"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	17	2	2	1	1
303	23	0	"La Expedicin, Cinco Manos"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	11	2	2	1	1
304	23	0	"Aguada Grande"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	5	2	2	1	2
305	23	0	"Zuuk"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	7	2	2	1	2
306	23	0	"Cozumel"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
307	33	0	"Tlatilco"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 214 (del Edo. de Mx.)"	1	"N"	0	1	TRUE	1	2	2	1	3
308	33	0	"Ixtapan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"verificar que no sea la misma a la loc. 287 (del edo. de Chiapas)"	1	"N"	0	1	TRUE	1	2	2	1	3
309	15	0	"Tajo de desemboque-canal de desage Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"regon ded Zumpango, en el extremo N de la Cuenca de Mxico, verificar que sea diferente a la loc. 332 y 276"	1	"N"	0	1	TRUE	1	2	2	1	3
310	7	0	"Las Morenas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	4	2	2	1	3
311	7	0	"Campn"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
312	7	0	"Tlacuachero"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
313	7	0	"La Palma"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
314	7	0	"Ro Arriba"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	4	2	2	1	3
315	7	0	"Las Lomas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
316	16	0	"San Pedro Cara"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"15 Km al este de Cojumatln, en las afueras del pueblo, direccin SO, cerca de la carretera a Saguayo"	1	"N"	0	1	TRUE	1	2	2	1	3
317	8	0	"Al este de la Laguna El Barreal, Sitio 2"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	2	2	2	2	3
318	8	0	"Al este de la Laguna El Barreal, Sitio 1"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
319	9	0	"Ejrcito de Oriente"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"en la calle de Batalln de Zapadores, frente al N. 55 A, en la unidad Ejrcito de Oriente. Delagacin Iztapalapa"	1	"N"	0	1	TRUE	1	2	2	1	3
320	15	0	"Tlapacoya"	"ND"	"ND"	19	18	30	98	54	30	"ND"	"ND"	"Lago de Chalco"	"ND"	"ND"	9999	"ND"	"relacionado con el Lago de Chalco; Agenbroad 1984), ubica la localidad errneamente en Puebla, la bibligrafa que usa es de Lorenzo, Mirammbell y Haynes"	1	"Y"	7	1	FALSE	2	1	1	2	3
321	28	0	"San Pedro de Roma"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
323	9	0	"Colonia Gertrudis Snchez"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"lote 6006 de la calle Norte 86-A; verificar que no sea la misma a la loc. 104"	1	"N"	0	1	TRUE	1	2	2	1	3
324	15	0	"Los Reyes-La Paz I"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Los Reyes La Paz (cuadra 2): Ver los planos que existen en Lorenzo y Mirambell (1986) para ubicar la cuadra 2"	1	"N"	0	2	TRUE	5	2	2	1	2
325	21	0	"Calle Ro Yaqui"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
326	15	0	"Los Reyes-La Paz II"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"Los Reyes La Paz (cuadra 10): Ver los planos que existen en Lorenzo y Mirambell (1986) para ubicar la cuadra 10"	1	"N"	1	3	TRUE	3	2	1	1	3
327	15	0	"Santa Luca I"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	1	1	TRUE	5	2	1	1	2
328	15	0	"Santa Luca II"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ref. 857: base area de Santa Luca. 365 m del sitio excavado 1976 (Santa Luca I) dentro de los terrenos de la base area"	1	"N"	3	1	TRUE	4	2	1	1	3
329	32	0	"San Juan Capistrano"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	3	2	2	1	3
330	20	0	"Tamazulapan"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"En las cercanas del poblado de Tamazulapan; cerca de la Villa de Tamazulapan"	1	"N"	0	1	TRUE	3	2	2	1	3
331	3	0	"Estado de Baja California Sur"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	2	2	2	1	3
332	15	0	"Tajo del desage viejo (Tequixquiac)"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	FALSE	1	2	2	2	3
333	15	0	"Barranca de Tequixquiac"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
334	25	11	"cercanas de la Laguna de Chamicaris"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	1	2	2	1	3
335	16	0	"Cuenca del Balsas"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"citada en los estados de Michoacn y Guerrero"	1	"N"	0	1	TRUE	4	2	2	1	3
336	7	0	"Vistahermosa"	"ND"	"ND"	999	99	99	999	99	99	"ND"	"ND"	"ND"	"ND"	"ND"	9999	"ND"	"ND"	1	"N"	0	1	TRUE	11	2	2	1	1
